,period_names,short_descriptions,temperatures
0,Overnight,Slight ChanceShowers,Low: 52 °F
1,Saturday,Partly Sunny,High: 65 °F
2,SaturdayNight,Mostly Cloudy,Low: 51 °F
3,Sunday,Partly Sunny,High: 66 °F
4,SundayNight,Mostly Cloudy,Low: 52 °F
5,Monday,Partly Sunny,High: 67 °F
6,MondayNight,Partly Cloudy,Low: 52 °F
7,Tuesday,Sunny,High: 74 °F
8,TuesdayNight,Clear,Low: 54 °F
